listing_id,date
15349356,2018-12-26
15349356,2019-01-02
15349356,2019-01-06
15349356,2019-01-09
15349356,2019-01-13
15349356,2019-01-17
15349356,2019-01-21
15349356,2019-01-24
15349356,2019-01-28
15349356,2019-02-01
15349356,2019-02-04
15349356,2019-02-16
15349356,2019-02-18
15349356,2019-02-24
15349356,2019-03-03
15349356,2019-03-11
15349356,2019-03-18
15349356,2019-03-21
15349356,2019-03-25
15349356,2019-03-29
15349356,2019-04-06
15349356,2019-04-11
15349356,2019-04-14
15349356,2019-04-18
15349356,2019-04-22
15349356,2019-04-28
15349356,2019-05-02
15349356,2019-05-12
15349356,2019-05-27
15349356,2019-06-10
15349356,2019-06-13
15349356,2019-06-18
15349356,2019-06-23
15349356,2019-07-06
15349356,2019-07-10
15349356,2019-07-14
15349356,2019-07-25
15349356,2019-07-29
15349356,2019-08-05
15349356,2019-08-12
15349356,2019-08-16
15349356,2019-08-24
15349356,2019-08-29
15349356,2019-09-03
15349356,2019-09-22
15349356,2019-09-25
15349356,2019-09-29
15349356,2019-10-02
15349356,2019-10-06
15349356,2019-10-10
15349356,2019-10-13
15349356,2019-10-17
15349356,2019-10-20
15349356,2019-10-25
15349356,2019-11-01
15349356,2019-11-08
15349356,2019-11-11
15349356,2019-11-14
15349356,2019-11-22
15349356,2019-11-27
15349356,2019-12-01
15349356,2019-12-12
15349356,2019-12-16
15349356,2019-12-28
15349356,2020-01-03
15349356,2020-01-09
15349356,2020-01-12
15349356,2020-01-18
15349356,2020-01-27
15349356,2020-02-02
15349356,2020-02-06
15349356,2020-02-13
15349356,2020-02-16
15349356,2020-02-25
15349356,2020-03-04
15349356,2020-03-09
15349356,2020-03-16
15349356,2020-03-19
15349356,2020-05-01
15349356,2020-06-06
15349356,2020-06-21
15349356,2020-06-28
15349356,2020-07-03
15349356,2020-07-05
15349356,2020-07-19
15349356,2020-08-06
15349356,2020-08-31
15349356,2020-09-06
15349356,2020-10-05
15349356,2020-10-14
15349356,2020-10-19
15349356,2020-10-28
15349356,2020-11-01
15349356,2020-11-05
15349356,2021-01-01
15349356,2021-01-31
15349356,2021-02-19
15371998,2016-10-16
15371998,2016-10-23
15371998,2016-11-06
15371998,2016-11-11
15371998,2016-11-12
15371998,2016-11-20
15371998,2016-11-27
15371998,2016-12-11
15371998,2016-12-18
15371998,2016-12-25
15371998,2016-12-30
15371998,2017-01-08
15371998,2017-02-11
15371998,2017-02-26
15371998,2017-03-27
15371998,2017-04-09
15371998,2017-04-24
15371998,2017-04-26
15371998,2017-04-30
15371998,2017-05-14
15371998,2017-05-28
15371998,2017-06-05
15371998,2017-06-25
15371998,2017-07-02
15371998,2017-07-09
15371998,2017-07-23
15371998,2017-07-29
15371998,2017-07-30
15371998,2017-08-06
15371998,2017-10-01
15371998,2017-10-02
15371998,2017-10-22
15371998,2017-11-02
15371998,2017-11-04
15371998,2017-11-12
15371998,2017-11-17
15371998,2017-11-19
15371998,2017-12-10
15371998,2018-01-02
15371998,2018-01-23
15371998,2018-01-28
15371998,2018-02-25
15371998,2018-03-03
15371998,2018-03-11
15371998,2018-04-08
15371998,2018-04-15
15371998,2018-04-22
15371998,2018-04-29
15371998,2018-06-03
15371998,2018-06-17
15371998,2018-06-22
15371998,2018-06-24
15371998,2018-06-30
15371998,2018-07-11
15371998,2018-07-15
15371998,2018-07-21
15371998,2018-07-30
15371998,2018-08-12
15371998,2018-08-16
15371998,2018-08-26
15371998,2018-09-10
15371998,2018-09-22
15371998,2018-12-08
15371998,2018-12-16
15371998,2018-12-25
15371998,2019-01-01
15371998,2019-01-05
15371998,2019-01-13
15371998,2019-01-20
15371998,2019-01-26
15371998,2019-01-27
15371998,2019-02-03
15371998,2019-02-05
15371998,2019-02-10
15371998,2019-02-17
15371998,2019-02-26
15371998,2019-03-20
15371998,2019-03-23
15371998,2019-03-31
15371998,2019-04-11
15371998,2019-04-14
15371998,2019-04-21
15371998,2019-05-03
15371998,2019-05-05
15371998,2019-05-26
15371998,2019-07-08
15371998,2019-07-13
15371998,2019-07-21
15371998,2019-07-28
15371998,2019-08-03
15371998,2019-08-04
15371998,2019-08-11
15371998,2019-08-16
15371998,2019-08-17
15371998,2019-08-18
15371998,2019-08-25
15371998,2019-08-30
15371998,2019-09-01
15371998,2019-09-04
15371998,2019-09-07
15371998,2019-09-15
15371998,2019-09-21
15371998,2019-09-22
15371998,2019-09-28
15371998,2019-09-29
15371998,2019-10-05
15371998,2019-10-06
15371998,2019-10-11
15371998,2019-10-20
